sim_id,p_launch_time,p_latitude,p_longitude,p_altitude,p_balloon_mass,p_payload_mass,p_neck_lift,p_burst_diameter,p_time_step,p_iter_max,p_DataSet,p_parachute_cd,p_parachute_mass,p_parachute_diameter,burst_time_s,landing_time_s,burst_lat,burst_lon,burst_alt_m,land_lat,land_lon,land_alt_m,drift_m
0,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,0.0,0.0,40.44650036859891,-104.637965371172,1500.0,40.44650036859891,-104.637965371172,1500.0,23.591264745485923
1,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,5198.0,1767842850.6513054,40.20094303417827,-103.73688814559304,27160.628897841827,40.03704268182076,-103.31925060768089,1497.8667587661753,120839.26917302328
2,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,8057.0,1767842852.6182523,40.0163731590416,-103.22874219047999,27499.886303447536,39.84695043045235,-102.7876165879106,1499.595249469798,170820.81870014707
3,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,6169.0,1767842854.1462715,40.15550966432079,-103.5997087356769,27361.896961788687,39.98721479014329,-103.17616746704192,1499.3973036083898,134219.11657322972
4,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,7949.0,1767842856.2387514,40.02218416341382,-103.25295810967421,27492.26957494523,39.85207595343192,-102.8135651077594,1473.4843724898217,168562.8262721429
5,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,10852.0,1767842858.753122,39.7597943950536,-102.65322951462862,27629.160798874032,39.6154790324591,-102.19984714779879,1497.688358236183,227216.94703125008
6,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,8236.0,1767842860.849689,40.00139511928756,-103.19798331861062,27507.48947021699,39.83435243991161,-102.76139599224916,1498.7233341104563,173433.2962128448
7,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,9527.0,1767842873.462795,39.878395186452025,-102.93359074343316,27577.585853215347,39.71836316036257,-102.50149429557304,1387.6146509620776,198979.6553322668
8,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,10523.0,1767842891.5653226,39.788265098108795,-102.7266141501958,27616.43665558461,39.62474361795586,-102.19261805138213,-1126617.018087675,227350.62009701948
9,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,9214.0,1767842893.8688009,39.90725875683587,-103.00819594244902,27564.31890183199,39.7449534009407,-102.5800500613303,1493.499023025526,191641.09241419143
10,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,15725.0,1767842912.0876746,39.29079655683842,-101.55300700554919,27726.44114576819,39.178438164176285,-101.13365254521776,581.5539525549395,330835.5563140034
11,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,0.0,0.0,40.44666865808406,-104.6375408945729,1500.0,40.44666865808406,-104.6375408945729,1500.0,62.39421030187697
12,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,10797.0,1767842914.9090564,39.76556704089184,-102.66451308453352,27624.10589010219,39.62099763464564,-102.21244184499575,1330.5725926277703,225980.33467019506
13,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,5919.0,1767842916.9969873,40.165977746979245,-103.63943467008816,27309.82104431252,39.99848591500959,-103.21718447508322,1498.0698458043264,130512.4651084948
14,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,15275.0,1767842921.768613,39.33314517133128,-101.65209347361989,27720.034019038092,39.210399525161066,-101.23594464773049,1181.111414399609,321359.0406804258
15,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,16533.0,1767842926.5930603,39.2235812370345,-101.35870024808182,27734.404817744682,39.11478032648425,-100.94220228071454,1499.2286831986664,348772.38306134386
16,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,9324.0,1767842929.2326531,39.896722757174736,-102.9860950991602,27566.63970253641,39.73515775944116,-102.55546127777208,1497.755786323572,194006.31475911158
17,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,8096.0,1767842931.242808,40.01289022727895,-103.22303646616962,27500.41737110952,39.84371096800219,-102.78268671110101,1473.6191570994447,171350.6698549823
18,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,8302.0,1767842933.3686488,39.99574754052852,-103.18531210175648,27514.725834377994,39.830348697264554,-102.7513092257512,1496.599083155634,174400.91947291634
19,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,0.0,0.0,40.4463266834993,-104.63812547859709,1500.0,40.4463266834993,-104.63812547859709,1500.0,0.0
